"gwr","station_european_code","country_code","component_code","component_caption","year","obs","airid","country_is","type_of_st","alt10_enh","NO2_2010","Xcoord","Ycoord","clc10_100p","clc10_10p","clc10_12p","clc10_15p","clc10_18p","clc10_1p","clc10_20p","clc10_25p","clc10_2p","clc10_30p","clc10_35p","clc10_3p","clc10_40p","clc10_4p","clc10_50p","clc10_5p","clc10_60p","clc10_6p","clc10_70p","clc10_7p","clc10_80p","clc10_8p","clc10p","clc14_100p","clc14_10p","clc14_12p","clc14_15p","clc14_18p","clc14_1p","clc14_20p","clc14_25p","clc14_2p","clc14_30p","clc14_35p","clc14_3p","clc14_40p","clc14_4p","clc14_50p","clc14_5p","clc14_60p","clc14_6p","clc14_70p","clc14_7p","clc14_80p","clc14_8p","clc14p","clc3_100p","clc3_10p","clc3_12p","clc3_15p","clc3_18p","clc3_1p","clc3_20p","clc3_25p","clc3_2p","clc3_30p","clc3_35p","clc3_3p","clc3_40p","clc3_4p","clc3_50p","clc3_5p","clc3_60p","clc3_6p","clc3_70p","clc3_7p","clc3_80p","clc3_8p","clc3p","clc5_100p","clc5_10p","clc5_12p","clc5_15p","clc5_18p","clc5_1p","clc5_20p","clc5_25p","clc5_2p","clc5_30p","clc5_35p","clc5_3p","clc5_40p","clc5_4p","clc5_50p","clc5_5p","clc5_60p","clc5_6p","clc5_70p","clc5_7p","clc5_80p","clc5_8p","clc5p","clc7_10p","clc7_1p","clc7_2p","clc7_3p","clc7_4p","clc7_5p","clc7_6p","clc7_7p","clc7_8p","clc7p","MAJRDS_EU_100p","MAJRDS_EU_10p","MAJRDS_EU_1p","MAJRDS_EU_20p","MAJRDS_EU_2p","MAJRDS_EU_3p","MAJRDS_EU_4p","MAJRDS_EU_50p","MAJRDS_EU_5p","MAJRDS_EU_7p","MAJRDS_EUp","ROADS_EU_100p","ROADS_EU_10p","ROADS_EU_1p","ROADS_EU_20p","ROADS_EU_2p","ROADS_EU_3p","ROADS_EU_4p","ROADS_EU_50p","ROADS_EU_5p","ROADS_EU_7p","ROADS_EUp","no2_10MACC","no2_10SAT","XY","RES","RES_1","RES_2","RES_3","RES_4","RES_5","RES_6","RES_7","RES_8","RES_10","RES_12","RES_15","RES_18","RES_20","RES_25","RES_30","RES_35","RES_40","RES_50","RES_60","RES_70","RES_80","RES_100","REGION","strata_run5","pop2011","DEHM_NO2_2010","PREDNO2LURFULL","climate_zone","zone.name","zoneID","index","nfold","x_trun","y_trun","alt_t","df_type","res"
32.9263573781715,"AT30101","AT",8,"NO2","2010",26.009,5,"AT","Background",269,26.009,4684141.746,2790523.232,2028,246,324,462,558,5,593,631,13,673,781,29,844,49,916,79,1120,108,1487,137,1756,171,1,-6648,-26,-41,-80,-115,0,-147,-274,0,-416,-638,0,-904,0,-1413,0,-1919,0,-2525,-2,-3463,-9,0,240,9,16,32,45,0,55,80,0,80,85,0,97,0,160,0,176,0,184,1,240,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98205,2116,0,4584,0,0,0,43803,326,1006,0,560980,13725,228,35148,403,1255,2414,163466,4936,8465,71,17.23550224,1.739748359,1.31e+13,1,5,13,29,49,79,108,136,168,237,308,430,513,538,551,593,696,747,756,944,1303,1516,1705,3,1,1736,6.653656706,31.2841,6,"Continental",3,1,4,0.703900004594535,0.352244944133997,-0.367028515472719,"train",-6.9173573781715
22.3671065616574,"AT30201","AT",8,"NO2","2010",17.253,14,"AT","Background",265,17.253,4784181.628,2780177.726,5942,193,243,362,475,5,558,725,13,958,1197,28,1448,45,2153,70,2847,91,3396,112,4193,138,1,-13201,-11,-32,-86,-142,0,-189,-329,0,-553,-847,0,-1141,0,-1981,0,-3304,0,-5058,0,-7478,0,0,503,0,1,11,18,0,23,40,0,40,45,0,91,0,125,0,129,0,268,0,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93194,0,0,5947,0,0,0,33870,0,0,0,330820,6542,100,23701,404,639,953,105058,1929,3379,0,9.962881088,2.153007984,1.33e+13,1,5,13,28,45,70,91,112,138,193,242,351,457,535,685,900,1060,1202,1792,2482,2892,3614,5002,3,2,2652,7.69267538,21.48689,8,"Continental",3,4,1,0.738664870024828,0.349270681326356,-0.364339625667945,"train",-5.11410656165738
23.6807151097102,"AT31406","AT",8,"NO2","2010",30.156,15,"AT","Traffic",188,30.156,4792731.993,2794668.93,11051,169,246,397,547,2,649,967,6,1289,1635,16,2085,28,2951,41,4072,58,5706,77,7568,102,0,-4020,0,0,0,0,0,0,0,0,0,0,0,0,0,-209,0,-547,0,-978,0,-1606,0,0,2017,31,54,116,194,0,262,401,0,495,562,0,660,0,811,0,1003,0,1485,3,1716,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253593,9339,0,21483,235,1463,2451,85143,3835,6548,0,594061,11264,0,29482,335,1965,3159,170760,4750,7969,0,12.55018806,2.255527735,1.34e+13,0,2,6,14,24,35,49,64,80,125,175,256,323,353,510,707,958,1295,1963,2773,3862,5437,8426,3,2,975,10.12503587,22.89638,8,"Continental",3,5,1,0.741636207881912,0.353436804191216,-0.308037209311717,"train",6.47528489028981
24.6545764003619,"AT82708","AT",8,"NO2","2010",24.821,18,"AT","Background",563,24.821,4307887.635,2671409.826,2489,230,296,405,503,4,581,703,10,821,911,21,969,35,1072,61,1318,88,1649,115,1956,151,1,-24888,-82,-131,-245,-369,-1,-477,-971,-3,-1664,-2526,-8,-3497,-14,-5757,-20,-8494,-25,-11718,-34,-15361,-46,0,95,4,18,33,42,0,48,63,0,68,68,0,84,0,95,0,95,0,95,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58411,3060,0,13457,0,0,56,34335,539,1470,0,193633,11694,402,31352,559,897,1685,81860,2632,5023,120,6.480410576,0.606656492,1.15e+13,1,4,10,21,35,61,88,115,151,226,278,372,461,533,627,723,813,855,947,1186,1493,1800,2333,3,5,3347,4.23526479,19.98344,5,"Alpine",1,6,5,0.573147915777502,0.318000647783743,-0.528443662116848,"train",0.166423599638136
15.1982284693302,"AT60151","AT",8,"NO2","2010",14.925,20,"AT","Background",431,14.925,4739857.707,2655474.998,2872,0,0,15,55,0,85,206,0,335,495,0,661,0,864,0,1088,0,1555,0,2067,0,0,-10431,-210,-256,-352,-474,-5,-584,-773,-11,-923,-1097,-26,-1379,-45,-2212,-75,-3268,-98,-4394,-120,-6081,-145,-1,152,0,0,0,0,0,0,0,0,0,4,0,27,0,44,0,44,0,73,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72986,3103,0,10741,0,0,0,39080,16,1414,0,388836,4205,0,20103,0,0,0,105665,16,1414,0,11.96800804,1.025308132,1.26e+13,0,0,0,0,0,0,0,0,0,0,0,15,55,85,206,335,491,624,795,983,1372,1780,2524,3,4,64,5.691332271,13.09227,5,"Alpine",1,7,2,0.723261861563583,0.313419492810118,-0.462985905691764,"train",-0.273228469330235
32.1778218414314,"AT4S156","AT",8,"NO2","2010",22.666,22,"AT","Background",350,22.666,4546757.765,2798516.393,1952,233,314,487,671,5,780,971,13,1126,1234,27,1358,43,1512,65,1576,88,1614,114,1620,148,1,-8072,-28,-42,-75,-112,0,-140,-312,0,-524,-819,0,-1187,0,-2188,-2,-3428,-7,-4641,-12,-6041,-16,0,164,0,0,0,4,0,11,32,0,64,87,0,132,0,164,0,164,0,164,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74354,2692,0,11535,273,626,915,39337,1224,1871,0,410796,8026,213,31216,826,1602,2245,116262,3022,5081,0,13.77144051,1.883339643,1.27e+13,1,5,13,27,43,65,88,114,148,233,314,487,667,769,939,1062,1147,1226,1348,1412,1450,1456,1776,3,2,33,8.951439845,26.46731,6,"Continental",3,8,1,0.656157689067384,0.354542923708684,-0.417771396842419,"train",-9.5118218414314
26.2658019453993,"AT60180","AT",8,"NO2","2010",19.567,26,"AT","Background",494,19.567,4717387.864,2713606.182,2537,191,230,280,359,5,451,643,13,827,897,29,980,47,1191,72,1336,94,1469,117,1749,144,1,-24418,-97,-168,-309,-469,0,-589,-995,0,-1476,-2169,0,-2910,-2,-4933,-8,-7817,-16,-11255,-27,-15179,-42,0,299,0,0,0,6,0,18,36,0,36,36,0,36,0,108,0,110,0,110,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107968,3285,0,15139,0,0,0,55472,0,644,0,200550,7655,218,27730,390,644,1407,92710,2243,3607,96,10.38941288,1.019912958,1.28e+13,1,5,13,29,47,72,94,117,144,191,230,280,353,433,599,763,833,916,1055,1198,1331,1540,2210,3,2,3530,5.252880362,24.32584,6,"Continental",3,9,4,0.715453365066808,0.330131813941185,-0.49530737950959,"train",-6.6988019453993
23.1748005056046,"AT60195","AT",8,"NO2","2010",16.343,31,"AT","Background",371,16.343,4718832.454,2647363.406,1810,239,288,366,466,5,514,576,13,610,668,29,793,49,939,77,1100,106,1300,138,1395,176,1,-17705,-24,-54,-145,-265,0,-391,-822,0,-1273,-1818,0,-2503,0,-3881,0,-5761,0,-8031,0,-10782,-3,0,27,0,0,0,10,0,17,27,0,27,27,0,27,0,27,0,27,0,27,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25366,0,0,3483,0,0,0,11772,0,0,0,290287,6224,0,19601,199,575,1119,73758,1774,2945,0,10.64980793,1.237943888,1.25e+13,1,5,13,29,49,77,104,133,169,228,273,344,431,472,524,558,616,741,887,1048,1248,1343,1758,3,5,1184,4.746609431,21.52206,6,"Continental",3,10,4,0.715955374624875,0.311087465126178,-0.429950489935152,"train",-6.83180050560459
40.636017901413,"AT80807","AT",8,"NO2","2010",34.545,32,"AT","Background",446,34.545,4301678.857,2699725.529,6971,296,402,612,828,5,981,1237,13,1355,1447,29,1517,49,1765,81,2198,113,3138,149,4292,192,1,-14487,-21,-39,-86,-159,0,-228,-470,0,-810,-1247,0,-1864,0,-3438,0,-5129,0,-6973,0,-9029,-5,0,437,0,0,0,0,0,0,18,0,49,72,0,78,0,98,0,127,0,127,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167617,4084,354,7789,661,976,1263,45974,1487,2615,100,410512,15872,472,40926,1000,1629,2365,115790,3663,7629,203,12.54112911,1.316091061,1.16e+13,1,5,13,29,49,81,113,149,192,296,402,612,828,981,1219,1299,1331,1381,1591,1949,2887,3969,6410,3,2,3760,7.244791078,36.57031,6,"Continental",3,11,5,0.57099030296008,0.326141220347823,-0.470882766872668,"train",-6.09101790141302
20.4385478469659,"AT31701","AT",8,"NO2","2010",12.871,33,"AT","Background",346,12.871,4731679.403,2821844.839,2139,40,42,53,67,0,85,98,4,131,207,11,274,14,442,17,755,21,1124,26,1400,31,0,-17456,-56,-117,-287,-488,0,-646,-1046,0,-1562,-2267,0,-3135,0,-5144,-3,-7226,-7,-9356,-11,-11579,-23,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52790,0,0,1438,0,0,0,8512,0,0,0,365773,3681,88,13585,364,533,909,66138,1381,2467,0,13.76497746,1.817753553,1.34e+13,0,0,4,11,14,17,21,26,31,40,42,53,67,85,98,131,207,274,442,755,1081,1328,1908,3,5,111,7.546975827,19.35024,6,"Continental",3,12,2,0.720419818647059,0.361249693710835,-0.41541108757641,"train",-7.56754784696594
